neuron_i,neuron_label,area,ramp_type,onset_ms
4276,M062818_077_3,AI,Positive,0.0
4279,M062818_090_3,45,Positive,593.0
4282,M062818_097_3,8B,Positive,121.0
4285,M062818_101_3,46v,Negative,0.0
4288,M062818_113_3,6DR,Positive,13.0
4310,M062818_147_5,6DC,Negative,341.0
4312,M062818_152_1,6DC,Positive,0.0
4324,M062918_017_3,12l,Positive,104.0
4325,M062918_017_5,12l,Positive,470.0
4328,M062918_024_1,46v,Negative,615.0
4332,M062918_034_4,11ml,Negative,88.0
4338,M062918_054_2,13m,Positive,0.0
4346,M062918_090_3,45,Positive,581.0
4347,M062918_097_2,8B,Positive,0.0
4349,M062918_101_1,46v,Negative,340.0
4355,M062918_113_3,6DR,Positive,9.0
4361,M062918_134_1,6DR,Negative,0.0
4367,M062918_138_3,6DC,Positive,557.0
4374,M062918_147_4,6DC,Negative,78.0
4376,M062918_152_2,6DC,Negative,319.0
4379,M070218_005_3,11ml,Positive,558.0
4387,M070218_011_3,46v,Positive,348.0
4388,M070218_013_2,11ml,Positive,680.0
4392,M070218_028_3,12o,Positive,90.0
4395,M070218_036_4,45,Positive,531.0
4400,M070218_054_2,13m,Positive,388.0
4403,M070218_064_2,13m,Negative,434.0
4408,M070218_072_2,46v,Positive,236.0
4412,M070218_090_2,45,Positive,631.0
4414,M070218_097_2,8B,Positive,0.0
4417,M070218_101_3,46v,Negative,134.0
4421,M070218_113_5,6DR,Positive,559.0
4423,M070218_125_1,24c,Negative,0.0
4424,M070218_128_3,6DC,Negative,351.0
4428,M070218_134_2,6DR,Negative,285.0
4436,M070218_147_5,6DC,Negative,0.0
4437,M070218_152_2,6DC,Negative,621.0
4438,M070218_156_4,cd,Negative,0.0
4439,M070218_157_2,24c,Negative,726.0
4441,M070318_005_2,11ml,Positive,613.0
4446,M070318_007_4,11ml,Negative,234.0
4450,M070318_013_3,11ml,Positive,94.0
4453,M070318_017_4,12l,Positive,585.0
4462,M070318_054_3,13m,Positive,497.0
4468,M070318_078_1,44,Positive,609.0
4471,M070318_097_3,8B,Negative,216.0
4482,M070318_128_4,6DC,Positive,572.0
4485,M070318_134_1,6DR,Negative,538.0
4496,M070318_147_1,6DC,Negative,142.0
4498,M070318_149_2,pu,Negative,19.0
4504,M070418_005_2,11ml,Positive,716.0
4507,M070418_007_2,11ml,Negative,0.0
4513,M070418_013_3,11ml,Positive,661.0
4515,M070418_017_4,12l,Positive,137.0
4523,M070418_036_2,45,Positive,27.0
4530,M070418_054_1,13m,Positive,424.0
4534,M070418_066_2,45,Positive,536.0
4540,M070418_090_4,45,Positive,660.0
4542,M070418_097_3,8B,Negative,545.0
4552,M070418_128_5,6DC,Negative,0.0
4555,M070418_134_3,6DR,Negative,610.0
4557,M070418_134_7,6DR,Positive,600.0
4562,M070418_144_1,6DC,Positive,668.0
4565,M070418_147_1,6DC,Negative,272.0
4570,M070518_005_4,11ml,Positive,622.0
4580,M070518_019_2,12m,Positive,286.0
4582,M070518_022_2,11ml,Negative,475.0
4595,M070518_054_3,13m,Positive,593.0
4597,M070518_065_4,24c,Negative,37.0
4603,M070518_090_3,45,Positive,620.0
4610,M070518_106_3,pu,Negative,70.0
4613,M070518_113_2,24c,Positive,379.0
4616,M070518_128_3,6DC,Negative,268.0
4617,M070518_128_4,6DC,Negative,226.0
4631,M070518_147_3,6DC,Negative,0.0
4639,M070618_005_5,11ml,Positive,628.0
4647,M070618_017_4,12l,Positive,313.0
4648,M070618_019_2,12m,Positive,121.0
4649,M070618_022_2,11ml,Negative,0.0
4661,M070618_054_3,13m,Positive,577.0
4664,M070618_066_2,45,Positive,498.0
4671,M070618_090_3,45,Positive,622.0
4672,M070618_097_3,8B,Negative,694.0
4680,M070618_128_3,6DC,Negative,0.0
4681,M070618_128_5,6DC,Negative,64.0
4694,M070618_144_3,6DC,Positive,189.0
4695,M070618_147_4,6DC,Negative,0.0
4700,M070618_156_2,cd,Positive,639.0
4703,M070918_005_3,11ml,Positive,591.0
4712,M070918_017_4,12l,Positive,561.0
4713,M070918_019_3,12m,Positive,430.0
4714,M070918_019_4,12m,Positive,0.0
4720,M070918_026_4,45,Positive,527.0
4726,M070918_054_1,13m,Positive,529.0
4731,M070918_069_1,12o,Positive,0.0
4741,M070918_097_1,8B,Negative,591.0
4752,M070918_128_4,6DC,Negative,681.0
4761,M070918_144_3,6DC,Positive,551.0
4763,M070918_147_3,6DC,Negative,0.0
4766,M071018_005_2,11ml,Positive,596.0
4776,M071018_017_6,12l,Positive,559.0
4778,M071018_019_4,12m,Positive,0.0
4781,M071018_026_4,45,Positive,44.0
4783,M071018_028_4,12o,Positive,547.0
4786,M071018_044_3,13m,Positive,17.0
4791,M071018_054_1,13m,Positive,190.0
4792,M071018_066_3,45,Negative,170.0
4795,M071018_072_2,46v,Positive,575.0
4801,M071018_090_3,45,Positive,621.0
4803,M071018_097_3,8B,Negative,452.0
4822,M071018_147_3,6DC,Negative,548.0
4824,M071018_152_3,6DC,Negative,48.0
4826,M071118_005_4,11ml,Positive,606.0
4829,M071118_007_4,11ml,Negative,231.0
4832,M071118_017_2,12l,Positive,694.0
4833,M071118_018_3,12l,Positive,466.0
4835,M071118_019_2,12m,Positive,323.0
4836,M071118_024_3,46v,Negative,268.0
4844,M071118_044_3,13m,Positive,599.0
4847,M071118_048_2,13l,Positive,313.0
4849,M071118_054_3,13m,Positive,97.0
4858,M071118_090_2,45,Positive,665.0
4860,M071118_097_4,8B,Negative,489.0
4862,M071118_100_2,cd,Negative,0.0
4878,M071218_005_5,11ml,Positive,607.0
4883,M071218_013_1,11ml,Positive,444.0
4887,M071218_017_4,12l,Positive,578.0
4891,M071218_019_2,12m,Positive,90.0
4894,M071218_026_2,45,Positive,591.0
4895,M071218_026_3,45,Positive,434.0
4899,M071218_048_3,13l,Positive,683.0
4902,M071218_066_4,45,Negative,104.0
4907,M071218_078_4,44,Negative,0.0
4914,M071218_097_2,8B,Negative,465.0
4916,M071218_100_3,cd,Negative,253.0
4922,M071218_113_1,24c,Positive,104.0
4931,M071218_146_3,6DC,Positive,106.0
4932,M071218_146_4,6DC,Positive,36.0
4937,M071318_005_1,11ml,Positive,608.0
4944,M071318_013_3,11ml,Positive,45.0
4947,M071318_017_3,12l,Positive,601.0
4948,M071318_017_4,12l,Positive,611.0
4950,M071318_019_2,12m,Positive,469.0
4954,M071318_026_1,45,Positive,609.0
4955,M071318_026_2,45,Positive,470.0
4956,M071318_028_3,12o,Positive,561.0
4965,M071318_066_3,45,Negative,114.0
4967,M071318_068_2,12o,Positive,389.0
5000,M071318_146_2,6DC,Positive,391.0
5002,M071318_146_5,6DC,Positive,522.0
5003,M071318_146_7,6DC,Positive,229.0
5006,M071318_153_3,AMG,Positive,276.0
5017,M071618_017_4,12l,Positive,588.0
5022,M071618_026_3,45,Positive,522.0
5023,M071618_026_6,45,Positive,680.0
5026,M071618_045_3,45,Negative,499.0
5029,M071618_068_4,12o,Positive,516.0
5033,M071618_072_6,46v,Positive,243.0
5037,M071618_090_2,45,Positive,545.0
5038,M071618_090_3,45,Positive,587.0
5039,M071618_093_1,AI,Negative,0.0
5041,M071618_097_5,8B,Negative,0.0
5045,M071618_109_3,8B,Positive,80.0
5056,M071618_146_4,6DC,Positive,148.0
5057,M071618_147_3,6DC,Negative,236.0
5064,M071718_005_1,11ml,Positive,674.0
5065,M071718_005_2,11ml,Negative,554.0
5068,M071718_011_3,46v,Negative,0.0
5070,M071718_013_4,11ml,Positive,418.0
5071,M071718_013_5,11ml,Negative,669.0
5074,M071718_017_4,12l,Positive,630.0
5079,M071718_026_3,45,Positive,475.0
5091,M071718_072_2,46v,Positive,211.0
5097,M071718_090_3,45,Positive,600.0
5101,M071718_097_3,8B,Negative,444.0
5104,M071718_101_3,45,Negative,512.0
5115,M071718_146_3,6DC,Positive,696.0
5118,M071818_005_2,11ml,Positive,579.0
5129,M071818_026_1,45,Positive,502.0
5136,M071818_044_3,13m,Negative,433.0
5146,M071818_072_3,46v,Positive,625.0
5150,M071818_090_2,45,Positive,608.0
5157,M071818_101_3,45,Negative,304.0
5172,M071918_005_5,11ml,Positive,650.0
5184,M071918_026_2,45,Positive,75.0
5190,M071918_044_3,13m,Negative,0.0
5198,M071918_072_3,46v,Positive,471.0
5202,M071918_090_4,45,Positive,603.0
5208,M071918_101_2,45,Negative,572.0
5210,M071918_109_3,8B,Positive,0.0
5228,M072018_007_2,11ml,Negative,0.0
5241,M072018_026_2,45,Positive,360.0
5247,M072018_064_1,13m,Positive,502.0
5250,M072018_072_3,46v,Positive,706.0
5251,M072018_077_3,AI,Negative,0.0
5254,M072018_090_1,45,Positive,521.0
5255,M072018_090_4,45,Positive,549.0
5256,M072018_093_3,AI,Negative,53.0
5257,M072018_094_1,AI,Negative,252.0
5263,M072018_105_1,AMG,Positive,584.0
5279,M072318_007_3,11ml,Negative,178.0
5292,M072318_039_2,13l,Negative,356.0
5296,M072318_064_1,13m,Positive,0.0
5302,M072318_090_3,45,Positive,605.0
5303,M072318_093_2,AI,Negative,0.0
5307,M072318_105_1,AMG,Positive,621.0
5319,M072318_152_2,6DC,Negative,0.0
5338,M072418_036_2,12l,Positive,157.0
5339,M072418_039_2,13l,Negative,299.0
5359,M072418_090_3,45,Positive,579.0
5362,M072418_094_2,AI,Positive,225.0
5363,M072418_095_3,AI,Positive,431.0
5366,M072418_105_1,AMG,Positive,630.0
5375,M072418_152_3,6DC,Negative,147.0
5380,M072518_006_3,11ml,Positive,0.0
5381,M072518_007_4,11ml,Negative,73.0
5382,M072518_012_2,12r,Negative,302.0
5385,M072518_017_2,12l,Positive,569.0
5393,M072518_036_2,12l,Positive,332.0
5408,M072518_090_2,45,Positive,636.0
5410,M072518_094_3,AI,Positive,321.0
5411,M072518_095_3,AI,Positive,582.0
5416,M072518_105_2,AMG,Positive,639.0
5427,M072518_152_4,6DC,Negative,207.0
5428,M072518_156_4,cd,Negative,0.0
5431,M072718_007_4,11ml,Negative,368.0
5434,M072718_013_3,11ml,Negative,104.0
5440,M072718_026_4,45,Positive,656.0
5441,M072718_035_2,12l,Positive,305.0
5442,M072718_036_3,12l,Positive,637.0
5451,M072718_077_2,AI,Positive,281.0
5456,M072718_094_4,AI,Positive,97.0
5457,M072718_095_2,AI,Positive,336.0
5460,M072718_100_3,cd,Negative,0.0
5464,M072718_105_2,AMG,Positive,608.0
5478,M072718_156_3,cd,Negative,461.0
5501,M073018_078_2,44,Positive,468.0
5502,M073018_078_4,44,Positive,334.0
5505,M073018_083_4,13l,Negative,278.0
5513,M073018_105_1,AMG,Positive,630.0
5531,M073118_007_3,11ml,Positive,263.0
5536,M073118_013_1,11ml,Negative,374.0
5556,M073118_090_3,45,Negative,0.0
5561,M073118_105_3,AMG,Positive,660.0
5603,M080118_090_2,45,Negative,470.0
5609,M080118_105_2,AMG,Positive,677.0
5610,M080118_109_3,8B,Positive,73.0
5630,M080218_018_3,12l,Negative,0.0
5647,M080218_066_6,45,Negative,708.0
5655,M080218_090_3,45,Negative,452.0
5660,M080218_100_4,cd,Positive,591.0
5661,M080218_105_1,AMG,Positive,702.0
5666,M080218_135_1,24c,Negative,177.0
5680,M080318_016_5,11ml,Negative,11.0
5684,M080318_019_2,12m,Negative,0.0
5688,M080318_026_3,45,Positive,0.0
5691,M080318_043_3,13m,Positive,75.0
5700,M080318_064_3,13m,Negative,285.0
5701,M080318_065_1,24c,Positive,355.0
5706,M080318_066_6,45,Negative,478.0
5711,M080318_078_3,44,Positive,568.0
5714,M080318_080_4,AI,Negative,371.0
5721,M080318_100_3,cd,Negative,328.0
5722,M080318_100_4,cd,Positive,533.0
5724,M080318_109_3,8B,Positive,164.0
5725,M080318_113_3,24c,Positive,247.0
5732,M080318_135_5,24c,Negative,712.0
5745,M080618_013_2,11ml,Positive,702.0
5746,M080618_014_4,11ml,Positive,276.0
5748,M080618_018_1,12m,Positive,621.0
5760,M080618_066_3,45,Positive,487.0
5763,M080618_077_3,AI,Negative,359.0
5776,M080618_100_3,cd,Positive,495.0
5792,M080718_008_3,46v,Positive,0.0
5812,M080718_064_2,13m,Negative,205.0
5813,M080718_066_1,45,Positive,542.0
5818,M080718_077_2,AI,Negative,130.0
5819,M080718_078_2,44,Negative,6.0
5830,M080718_100_3,cd,Positive,519.0
5837,M080718_135_5,24c,Negative,78.0
5840,M080718_144_3,6DC,Positive,370.0
5842,M080718_146_4,6DC,Negative,585.0
5858,M080818_037_3,12o,Negative,0.0
5866,M080818_064_3,13m,Negative,0.0
5884,M080818_100_3,cd,Positive,480.0
5893,M080818_135_5,24c,Negative,0.0
5897,M080818_140_3,pu,Positive,740.0
5899,M080818_144_1,6DC,Positive,470.0
5900,M080818_144_3,6DC,Positive,297.0
5909,M080818_152_7,6DC,Positive,165.0
5910,M080918_003_3,12r,Positive,243.0
5923,M080918_019_1,12m,Negative,345.0
5924,M080918_019_4,12m,Positive,622.0
5929,M080918_036_1,12l,Positive,662.0
5939,M080918_064_3,13m,Positive,0.0
5947,M080918_077_1,AI,Positive,689.0
5964,M080918_135_4,24c,Negative,471.0
5976,M080918_152_1,6DC,Negative,652.0
5986,M081018_018_4,12m,Positive,598.0
5995,M081018_036_1,12l,Positive,608.0
5997,M081018_037_3,12o,Negative,501.0
6002,M081018_064_2,13m,Positive,303.0
6003,M081018_064_4,13m,Negative,614.0
6010,M081018_077_3,AI,Positive,41.0
6029,M081018_135_7,24c,Negative,0.0
6040,M081318_012_2,12r,Negative,563.0
6046,M081318_036_5,12l,Positive,615.0
6052,M081318_064_3,13m,Negative,0.0
6057,M081318_077_3,AI,Positive,142.0
6058,M081318_078_3,44,Positive,146.0
6067,M081318_113_3,24c,Negative,7.0
6077,M081318_146_3,6DC,Negative,94.0
6082,M081318_156_3,cd,Positive,635.0
6085,M081418_008_3,46v,Positive,507.0
6086,M081418_008_5,46v,Positive,115.0
6092,M081418_012_1,12r,Negative,728.0
6095,M081418_018_3,12m,Positive,595.0
6100,M081418_026_2,12l,Positive,565.0
6103,M081418_036_2,12l,Positive,615.0
6118,M081418_078_1,44,Positive,26.0
6129,M081418_101_3,45,Positive,250.0
6137,M081418_152_3,6DC,Positive,698.0
6141,M081418_156_3,cd,Positive,578.0
6148,M081518_012_2,12r,Negative,679.0
6152,M081518_026_2,12l,Negative,27.0
6154,M081518_036_3,12l,Negative,74.0
6167,M081518_077_3,AI,Positive,268.0
6179,M081518_109_3,8B,Positive,627.0
6198,M081618_012_3,12r,Negative,596.0
6199,M081618_013_1,11ml,Positive,0.0
6205,M081618_028_3,12o,Positive,0.0
6216,M081618_083_2,13l,Negative,0.0
6231,M081618_152_3,6DC,Positive,206.0
6232,M081618_156_3,cd,Positive,618.0
6240,M081718_012_1,12r,Negative,553.0
6241,M081718_013_2,11ml,Positive,0.0
6246,M081718_032_3,11ml,Negative,371.0
6254,M081718_066_4,12l,Positive,458.0
6255,M081718_067_3,12o,Negative,517.0
6257,M081718_078_4,6VaVb,Positive,158.0
6269,M081718_139_3,pu,Negative,526.0
6281,M082018_013_2,11ml,Positive,132.0
6289,M082018_036_2,12l,Negative,343.0
6290,M082018_039_2,13l,Negative,187.0
6295,M082018_064_2,13m,Positive,613.0
6302,M082018_078_4,6VaVb,Negative,535.0
6324,M082118_005_4,11ml,Negative,230.0
6325,M082118_007_3,11ml,Negative,330.0
6330,M082118_018_4,12m,Positive,584.0
6336,M082118_036_1,12l,Negative,332.0
6337,M082118_039_1,13l,Negative,271.0
6344,M082118_069_3,12o,Negative,339.0
6349,M082118_091_2,AI,Negative,342.0
6353,M082118_101_6,44,Positive,307.0
6364,M082218_005_2,11ml,Negative,0.0
6371,M082218_017_3,12l,Positive,294.0
6372,M082218_018_3,12m,Positive,697.0
6374,M082218_024_3,11ml,Negative,149.0
6377,M082218_026_3,12l,Positive,627.0
6381,M082218_039_5,13l,Positive,481.0
6400,M082218_113_3,24c,Positive,538.0
6409,M082318_007_4,11ml,Negative,570.0
6419,M082318_024_3,11ml,Negative,296.0
6420,M082318_024_4,11ml,Positive,123.0
6421,M082318_024_6,11ml,Negative,0.0
6422,M082318_026_3,12l,Positive,470.0
6424,M082318_032_2,11ml,Negative,174.0
6425,M082318_036_2,12l,Negative,414.0
6427,M082318_039_3,13l,Positive,579.0
6450,M082318_130_3,AMG,Negative,0.0
6456,M082418_005_3,11ml,Negative,285.0
6457,M082418_005_4,11ml,Positive,478.0
6466,M082418_017_2,12l,Positive,522.0
6467,M082418_018_2,12m,Positive,509.0
6469,M082418_018_6,12m,Positive,176.0
6475,M082418_032_2,11ml,Positive,717.0
6477,M082418_036_2,12l,Negative,457.0
6480,M082418_039_3,13l,Positive,526.0
6503,M082418_113_3,24c,Negative,507.0
6513,M082418_156_2,cd,Positive,565.0
6516,M082718_005_2,11ml,Negative,599.0
6532,M082718_025_4,11ml,Negative,602.0
6535,M082718_032_3,11ml,Positive,621.0
6539,M082718_039_2,13l,Positive,312.0
6555,M082718_113_2,24c,Negative,329.0
6569,M082818_005_3,11ml,Negative,227.0
6586,M082818_032_4,11ml,Positive,504.0
6588,M082818_036_2,12l,Negative,296.0
6591,M082818_039_4,13l,Positive,571.0
6609,M082818_101_3,44,Negative,0.0
6616,M082818_147_3,24c,Negative,45.0
6618,M082818_147_5,24c,Positive,678.0
6622,M082918_005_2,11ml,Negative,0.0
6633,M082918_013_2,11ml,Positive,661.0
6637,M082918_018_1,12m,Positive,661.0
6643,M082918_025_4,11ml,Negative,412.0
6646,M082918_039_4,13l,Positive,573.0
6680,M083018_005_3,11ml,Negative,0.0
6688,M083018_012_2,11ml,Negative,729.0
6689,M083018_012_3,11ml,Negative,342.0
6692,M083018_013_5,11ml,Positive,138.0
6693,M083018_018_2,12m,Positive,608.0
6703,M083018_037_2,12o,Positive,586.0
6704,M083018_039_3,13l,Positive,503.0
6716,M083018_051_2,13m,Negative,307.0
6725,M083018_078_3,AI,Positive,582.0
6736,M083018_133_2,cd,Negative,0.0
6741,M083118_005_2,11ml,Negative,651.0
6762,M083118_022_3,11ml,Negative,0.0
6774,M083118_037_3,12o,Positive,564.0
6775,M083118_039_3,13l,Positive,525.0
6782,M083118_049_1,13l,Positive,708.0
6784,M083118_051_1,13m,Negative,0.0
6794,M083118_078_2,AI,Positive,535.0
6804,M083118_133_1,cd,Negative,0.0
6812,M091718_008_2,11ml,Negative,433.0
6821,M091718_036_3,12l,Negative,214.0
6824,M091718_049_2,13l,Negative,0.0
6825,M091718_050_3,13l,Positive,441.0
6829,M091718_078_2,AI,Negative,0.0
6844,M091718_139_2,pu,Negative,0.0
6849,M091818_005_3,11ml,Positive,365.0
6853,M091818_008_4,11ml,Negative,398.0
6864,M091818_036_3,12l,Negative,538.0
6885,M091818_139_3,pu,Negative,241.0
6889,M091918_005_3,11ml,Positive,504.0
6893,M091918_008_4,11ml,Negative,196.0
6900,M091918_036_4,12l,Positive,113.0
6904,M091918_067_2,12o,Negative,659.0
6905,M091918_068_1,12o,Positive,422.0
6918,M091918_110_1,pu,Positive,235.0
6921,M091918_128_5,pu,Positive,133.0
6922,M091918_134_3,cd,Negative,82.0
6984,M092118_036_4,12l,Positive,209.0
6992,M092118_067_4,12o,Positive,363.0
6993,M092118_068_3,12o,Negative,312.0
6998,M092118_078_4,AI,Negative,220.0
7009,M092518_005_3,11ml,Positive,252.0
7013,M092518_008_3,11ml,Negative,113.0
7027,M092518_036_3,12l,Positive,136.0
7034,M092518_063_3,13m,Negative,599.0
7036,M092518_068_2,12o,Negative,103.0
7040,M092518_078_2,AI,Negative,187.0
7051,M092518_154_3,cd,Negative,227.0
7053,M092618_005_2,11ml,Positive,0.0
7059,M092618_008_3,11ml,Negative,550.0
7074,M092618_036_3,12l,Positive,0.0
7080,M092618_066_2,12o,Negative,499.0
7082,M092618_068_3,12o,Negative,0.0
7085,M092618_078_2,AI,Negative,42.0
7093,M092618_094_3,AI,Positive,108.0
7095,M092618_109_4,pu,Negative,379.0
7109,M092718_005_1,11ml,Positive,381.0
7114,M092718_007_4,11ml,Negative,704.0
7137,M092718_067_4,12o,Negative,385.0
7138,M092718_068_1,12o,Negative,0.0
7139,M092718_068_2,12o,Negative,0.0
7142,M092718_078_2,AI,Negative,0.0
7159,M092818_005_4,11ml,Positive,0.0
7163,M092818_008_2,11ml,Negative,455.0
7165,M092818_013_3,11ml,Negative,0.0
7175,M092818_050_3,13l,Positive,114.0
7184,M092818_078_3,AI,Negative,226.0
7195,M092818_156_3,cd,Negative,0.0
7198,M100118_005_5,11ml,Positive,426.0
7204,M100118_008_4,11ml,Negative,553.0
7220,M100118_066_3,12o,Positive,236.0
7227,M100118_078_3,AI,Negative,0.0
7239,M100118_156_6,cd,Negative,594.0
7241,M100218_005_2,11ml,Positive,356.0
7247,M100218_008_3,11ml,Negative,670.0
7265,M100218_066_2,12o,Positive,731.0
7269,M100218_075_1,13m,Positive,78.0
7270,M100218_078_2,AI,Negative,353.0
7286,M100218_156_3,cd,Negative,411.0
7289,M100318_005_5,11ml,Positive,135.0
7293,M100318_008_3,11ml,Negative,0.0
7301,M100318_016_3,11ml,Positive,437.0
7302,M100318_018_3,12m,Positive,640.0
7304,M100318_026_1,12l,Positive,0.0
7306,M100318_036_2,12l,Negative,0.0
7307,M100318_039_2,13l,Positive,566.0
7316,M100318_078_2,AI,Negative,103.0
7323,M100318_124_3,pu,Positive,551.0
7326,M100318_152_2,pu,Negative,67.0
7328,M100318_157_3,cd,Negative,0.0
7330,M100418_005_2,11ml,Positive,461.0
7331,M100418_005_3,11ml,Negative,334.0
7337,M100418_008_2,11ml,Negative,73.0
7369,M100518_005_1,11ml,Positive,319.0
7381,M100518_026_4,12l,Positive,688.0
7393,M100518_068_4,12o,Positive,470.0
7428,M100818_018_3,12m,Positive,458.0
7432,M100818_028_3,12o,Negative,70.0
7434,M100818_036_5,12l,Positive,579.0
7446,M100818_079_2,AI,Positive,526.0
7460,M100818_136_1,cd,Positive,653.0
7463,M100918_005_4,11ml,Positive,215.0
7476,M100918_024_3,11ml,Positive,453.0
7478,M100918_028_3,12o,Negative,37.0
7507,M100918_149_3,pu,Negative,0.0
7509,M101018_005_1,11ml,Positive,435.0
7513,M101018_008_3,11ml,Negative,122.0
7522,M101018_024_2,11ml,Positive,590.0
7524,M101018_032_2,11ml,Negative,0.0
7526,M101018_034_3,11ml,Negative,0.0
7535,M101018_064_4,13m,Negative,0.0
7538,M101018_065_5,13m,Negative,375.0
7540,M101018_068_4,12o,Positive,0.0
7543,M101018_079_1,AI,Positive,533.0
7549,M101018_095_4,AI,Negative,200.0
7564,M101818_008_2,11ml,Negative,209.0
7586,M101918_005_4,11ml,Positive,434.0
7592,M101918_007_6,11ml,Negative,328.0
7594,M101918_008_3,11ml,Negative,151.0
7627,M102218_004_2,11ml,Positive,663.0
7635,M102218_007_2,11ml,Negative,0.0
7637,M102218_008_4,11ml,Negative,0.0
7640,M102218_012_2,12r,Positive,510.0
7658,M102218_116_3,AMG,Positive,706.0
7663,M102218_146_3,cd,Negative,364.0
7668,M102318_004_4,11ml,Positive,410.0
7669,M102318_005_3,11ml,Positive,732.0
7680,M102318_019_4,12m,Negative,230.0
7682,M102318_034_3,11ml,Negative,0.0
7684,M102318_036_1,12o,Positive,555.0
7685,M102318_036_2,12o,Positive,607.0
7698,M102318_066_3,45,Negative,478.0
7699,M102318_067_1,12o,Positive,631.0
7700,M102318_067_4,12o,Positive,219.0
7704,M102318_077_2,AI,Positive,454.0
7706,M102318_078_3,AI,Negative,0.0
7720,M102318_140_2,AMG,Positive,572.0
7723,M102318_149_3,pu,Positive,316.0
7730,M102418_008_3,11ml,Negative,175.0
7739,M102418_019_1,12m,Negative,220.0
7743,M102418_034_2,11ml,Negative,407.0
7745,M102418_036_2,12o,Positive,571.0
7766,M102518_002_4,12r,Negative,579.0
7769,M102518_004_1,11ml,Positive,650.0
7770,M102518_004_2,11ml,Positive,110.0
7775,M102518_007_2,11ml,Positive,338.0
7777,M102518_008_4,11ml,Negative,0.0
7790,M102518_036_5,12o,Positive,615.0
7791,M102518_036_6,12o,Positive,632.0
7792,M102518_036_7,12o,Positive,621.0
7803,M102518_078_3,AI,Negative,318.0
7805,M102518_083_1,13l,Negative,170.0
7806,M102518_092_3,AI,Positive,711.0
7824,M103018_004_1,11ml,Positive,623.0
7825,M103018_005_3,11ml,Positive,624.0
7828,M103018_008_3,11ml,Negative,35.0
7830,M103018_011_4,12r,Negative,538.0
7835,M103018_019_4,12m,Positive,485.0
7836,M103018_034_3,11ml,Negative,150.0
7841,M103018_045_4,12o,Negative,10.0
7844,M103018_054_3,13m,Positive,16.0
7856,M103018_077_1,AI,Positive,539.0
7862,M103018_079_2,AI,Positive,561.0
7883,M103018_157_3,cd,Negative,0.0
7885,M110118_004_2,11ml,Positive,575.0
7888,M110118_006_2,11ml,Positive,603.0
7889,M110118_008_3,11ml,Negative,333.0
7890,M110118_011_3,12r,Positive,610.0
7899,M110118_045_3,12o,Negative,471.0
7900,M110118_054_3,13m,Positive,0.0
7909,M110118_079_2,AI,Positive,623.0
7912,M110118_079_7,AI,Positive,133.0
7921,M110118_134_3,cd,Positive,106.0
7928,M110618_005_3,11ml,Negative,476.0
7936,M110618_018_3,12m,Negative,0.0
7941,M110618_045_1,12o,Negative,369.0
7942,M110618_051_3,13m,Negative,442.0
7957,M110618_144_4,cd,Negative,0.0
7966,M110718_014_3,11ml,Positive,504.0
7971,M110718_026_3,12l,Positive,589.0
7978,M110718_051_3,13m,Negative,367.0
7982,M110718_066_3,45,Positive,568.0
8009,M110918_016_3,11ml,Negative,0.0
8024,M110918_066_3,45,Negative,703.0
8038,M110918_144_2,cd,Negative,204.0
8048,M111218_016_4,11ml,Negative,0.0
8056,M111218_045_3,12o,Negative,0.0
8062,M111218_077_2,AI,Negative,167.0
8075,M111218_140_2,AMG,Negative,293.0
8080,M111318_004_3,11ml,Positive,128.0
8083,M111318_006_3,11ml,Negative,669.0
8085,M111318_007_2,11ml,Negative,634.0
8096,M111318_045_2,12o,Negative,55.0
8103,M111318_066_3,45,Negative,0.0
8118,M111318_140_1,AMG,Negative,132.0
8126,M111518_006_3,11ml,Negative,0.0
8131,M111518_016_2,11ml,Negative,0.0
8133,M111518_018_2,12m,Positive,210.0
8138,M111518_045_3,12o,Negative,571.0
8163,M111518_140_2,AMG,Negative,569.0
8169,X010220_011_3,12r,Positive,455.0
8172,X010220_018_2,12l,Positive,98.0
8175,X010220_028_4,12l,Positive,588.0
8176,X010220_036_2,12l,Negative,8.0
8177,X010220_038_2,46v,Positive,654.0
8183,X010220_060_2,46d,Positive,0.0
8191,X010220_091_4,45,Positive,238.0
8192,X010220_095_5,8A,Positive,140.0
8193,X010220_095_6,8A,Positive,312.0
8195,X010220_106_2,6DC,Negative,0.0
8196,X010220_106_3,6DC,Negative,229.0
8201,X010220_141_3,6DC,Negative,308.0
8205,X010320_003_2,12r,Positive,661.0
8210,X010320_011_7,12r,Positive,630.0
8216,X010320_028_5,12l,Positive,388.0
8219,X010320_052_3,8B,Negative,67.0
8222,X010320_063_3,6DR,Positive,731.0
8226,X010320_078_1,45,Negative,203.0
8230,X010320_080_5,44,Positive,461.0
8233,X010320_096_5,6DR,Negative,314.0
8236,X010320_106_2,6DC,Negative,0.0
8238,X010320_107_1,6DC,Negative,469.0
8244,X010421_004_3,12m,Positive,557.0
8247,X010421_014_3,11ml,Positive,379.0
8258,X010421_054_3,13m,Negative,260.0
8262,X010421_057_5,12o,Negative,582.0
8268,X010421_066_4,12o,Negative,547.0
8269,X010421_066_6,12o,Negative,328.0
8271,X010421_068_1,12o,Positive,202.0
8284,X010521_004_3,12m,Positive,68.0
8285,X010521_011_2,12r,Positive,351.0
8292,X010521_033_3,13m,Negative,416.0
