neuron_i,neuron_label,area,ramp_type,onset_ms
1174,M041018_128_3,6DC,Negative,303.0
1210,M041118_036_2,45,Positive,400.0
1222,M041118_067_2,8A,Negative,0.0
1223,M041118_067_3,8A,Negative,233.0
1229,M041118_077_2,8A,Positive,355.0
1231,M041118_080_4,46d,Positive,450.0
1236,M041118_106_2,6DR,Positive,441.0
1242,M041118_128_3,6DC,Negative,101.0
1250,M041118_147_1,6DC,Positive,386.0
1282,M041618_036_1,45,Positive,284.0
1303,M041618_097_3,6DR,Negative,664.0
1314,M041618_118_2,6DC,Positive,0.0
1315,M041618_125_1,6DR,Positive,0.0
1321,M041618_136_2,6DR,Positive,294.0
1325,M041618_147_2,6DC,Positive,602.0
1355,M041718_042_2,46df,Negative,432.0
1403,M041818_017_2,12l,Positive,655.0
1408,M041818_026_2,12l,Negative,167.0
1412,M041818_036_2,45,Positive,486.0
1453,M041818_147_1,6DC,Positive,352.0
1466,M041918_014_2,46v,Negative,0.0
1470,M041918_017_1,12l,Positive,0.0
1481,M041918_036_1,45,Positive,627.0
1491,M041918_080_3,46d,Negative,0.0
1498,M041918_110_2,6DR,Negative,112.0
1499,M041918_113_1,6DR,Positive,407.0
1500,M041918_113_2,6DR,Positive,46.0
1505,M041918_128_1,6DC,Negative,514.0
1514,M041918_147_2,6DC,Positive,218.0
1515,M041918_147_4,6DC,Positive,416.0
1532,M042018_036_2,45,Positive,599.0
1536,M042018_039_5,46v,Positive,382.0
1540,M042018_061_2,46df,Positive,165.0
1541,M042018_071_3,46v,Negative,49.0
1557,M042018_109_6,8B,Positive,138.0
1559,M042018_113_4,6DR,Positive,510.0
1566,M042018_118_3,6DC,Positive,302.0
1572,M042018_138_2,6DC,Positive,216.0
1577,M042018_147_1,6DC,Positive,319.0
1579,M042018_147_5,6DC,Positive,570.0
1585,M042318_005_3,11ml,Positive,334.0
1590,M042318_024_4,46df,Negative,570.0
1595,M042318_032_1,46v,Negative,637.0
1609,M042318_092_1,46v,Negative,56.0
1619,M042318_113_6,6DR,Positive,422.0
1625,M042318_118_1,6DC,Negative,592.0
1628,M042318_128_1,6DC,Negative,0.0
1635,M042318_139_3,6DC,Positive,453.0
1700,M042418_139_6,6DC,Positive,214.0
1706,M042418_147_1,6DC,Positive,340.0
1727,M042518_028_3,12o,Positive,66.0
1736,M042518_045_5,46v,Negative,559.0
1753,M042518_092_1,46v,Negative,552.0
1757,M042518_104_2,6DR,Positive,120.0
1760,M042518_109_4,8B,Negative,605.0
1762,M042518_113_3,6DR,Positive,134.0
1763,M042518_113_4,6DR,Positive,232.0
1768,M042518_128_4,6DC,Negative,0.0
1779,M042518_142_5,6DC,Negative,0.0
1784,M042518_147_6,6DC,Positive,603.0
1813,M042618_066_3,8A,Positive,632.0
1814,M042618_066_5,8A,Negative,0.0
1819,M042618_080_3,46d,Negative,0.0
1829,M042618_113_4,6DR,Positive,496.0
1830,M042618_115_2,6DC,Positive,555.0
1842,M042618_139_2,6DC,Positive,0.0
1848,M042618_147_1,6DC,Positive,631.0
1869,M042718_032_2,46v,Negative,0.0
1873,M042718_039_2,46v,Negative,66.0
1895,M042718_115_3,6DC,Positive,491.0
1902,M042718_135_3,6DR,Negative,0.0
1906,M042718_139_4,6DC,Positive,411.0
1916,M050118_005_3,11ml,Positive,605.0
1927,M050118_017_2,12l,Positive,621.0
1929,M050118_018_5,12l,Negative,655.0
1930,M050118_022_2,11ml,Negative,0.0
1943,M050118_053_5,46df,Negative,560.0
1946,M050118_055_5,45,Positive,380.0
1956,M050118_097_4,8B,Negative,417.0
1962,M050118_114_3,45,Positive,182.0
1967,M050118_125_1,6DR,Negative,0.0
1978,M050118_147_9,6DC,Positive,661.0
1979,M050118_152_1,6DC,Positive,504.0
1994,M050218_017_4,12l,Positive,585.0
2010,M050218_055_2,45,Positive,0.0
2012,M050218_066_2,8A,Positive,500.0
2018,M050218_080_2,46d,Negative,0.0
2025,M050218_109_3,8B,Negative,399.0
2036,M050218_125_1,6DR,Negative,215.0
2040,M050218_138_3,6DC,Positive,0.0
2061,M050318_017_2,12l,Positive,519.0
2064,M050318_018_5,12l,Positive,606.0
2072,M050318_036_3,45,Negative,422.0
2090,M050318_115_6,6DC,Negative,513.0
2091,M050318_116_3,6DC,Positive,10.0
2110,M050418_007_3,46v,Negative,682.0
2129,M050418_035_2,45,Positive,661.0
2138,M050418_067_5,8A,Negative,0.0
2139,M050418_067_6,8A,Negative,318.0
2140,M050418_080_1,46d,Negative,152.0
2150,M050418_119_3,pu,Positive,284.0
2153,M050418_135_3,6DR,Negative,241.0
2163,M050718_013_1,11ml,Negative,706.0
2172,M050718_036_1,45,Negative,95.0
2179,M050718_067_2,8A,Negative,389.0
2181,M050718_080_8,46d,Positive,194.0
2182,M050718_090_2,45,Positive,78.0
2191,M050718_113_3,6DR,Negative,153.0
2208,M050818_018_2,12l,Positive,326.0
2218,M050818_036_2,45,Negative,168.0
2224,M050818_065_5,6DR,Negative,359.0
2227,M050818_068_3,AI,Negative,440.0
2229,M050818_080_4,46d,Negative,270.0
2230,M050818_091_2,44,Positive,561.0
2231,M050818_101_4,46v,Negative,11.0
2234,M050818_109_5,8B,Positive,567.0
2237,M050818_118_5,pu,Negative,500.0
2238,M050818_119_1,pu,Negative,495.0
2250,M050918_006_3,11ml,Positive,585.0
2267,M050918_036_2,45,Negative,0.0
2273,M050918_067_2,8A,Positive,363.0
2278,M050918_101_1,46v,Negative,344.0
2288,M050918_125_2,24c,Negative,465.0
2295,M050918_142_3,6DC,Positive,490.0
2315,M051018_036_2,45,Negative,0.0
2320,M051018_067_2,8A,Positive,646.0
2324,M051018_080_1,46d,Negative,302.0
2331,M051018_109_4,8B,Negative,524.0
2339,M051018_134_5,6DR,Negative,117.0
2365,M051118_018_6,12l,Positive,597.0
2368,M051118_036_2,45,Negative,0.0
2375,M051118_067_3,8A,Negative,0.0
2380,M051118_090_3,45,Positive,651.0
2391,M051118_118_6,pu,Negative,146.0
2393,M051118_123_3,cd,Positive,454.0
2408,M051418_005_3,11ml,Positive,622.0
2414,M051418_013_4,11ml,Positive,636.0
2422,M051418_036_3,45,Positive,696.0
2432,M051418_078_1,45,Negative,0.0
2439,M051418_104_2,6VaVb,Negative,227.0
2443,M051418_116_3,6DC,Negative,435.0
2444,M051418_116_4,6DC,Negative,446.0
2446,M051418_118_3,pu,Negative,410.0
2456,M051418_147_4,6DC,Negative,355.0
2462,M051518_005_2,11ml,Positive,597.0
2466,M051518_013_3,11ml,Positive,579.0
2484,M051518_078_1,45,Negative,63.0
2486,M051518_090_3,45,Positive,610.0
2490,M051518_100_4,6DR,Negative,300.0
2491,M051518_101_2,46v,Negative,626.0
2492,M051518_104_2,6VaVb,Negative,348.0
2500,M051518_118_3,pu,Negative,616.0
2501,M051518_119_1,pu,Negative,341.0
2530,M051618_013_4,11ml,Positive,399.0
2544,M051618_060_3,13l,Positive,627.0
2549,M051618_078_3,45,Positive,464.0
2550,M051618_078_4,45,Negative,0.0
2552,M051618_090_3,45,Positive,601.0
2555,M051618_097_2,8B,Negative,298.0
2564,M051618_113_6,6DR,Positive,249.0
2566,M051618_116_2,6DC,Positive,570.0
2572,M051618_125_1,24c,Positive,590.0
2577,M051618_144_3,6DC,Positive,277.0
2586,M051618_154_2,cd,Negative,538.0
2590,M051718_005_2,11ml,Positive,510.0
2598,M051718_013_3,11ml,Positive,709.0
2606,M051718_060_2,13l,Positive,676.0
2609,M051718_065_6,6DR,Positive,658.0
2610,M051718_066_2,45,Negative,417.0
2613,M051718_078_3,45,Negative,55.0
2614,M051718_090_3,45,Positive,633.0
2618,M051718_101_1,46v,Negative,435.0
2629,M051718_118_4,pu,Negative,0.0
2642,M051718_146_4,6DC,Positive,138.0
2648,M051718_154_2,cd,Negative,524.0
2651,M051818_005_2,11ml,Positive,593.0
2661,M051818_013_3,11ml,Positive,614.0
2669,M051818_054_3,13m,Negative,0.0
2670,M051818_065_2,6DR,Positive,593.0
2671,M051818_066_3,45,Negative,149.0
2673,M051818_078_2,45,Negative,570.0
2674,M051818_080_2,46v,Positive,546.0
2677,M051818_090_3,45,Positive,598.0
2681,M051818_100_3,6DR,Negative,0.0
2683,M051818_104_2,6VaVb,Positive,274.0
2691,M051818_116_3,6DC,Positive,0.0
2704,M051818_152_2,6DC,Positive,354.0
2705,M051818_152_4,6DC,Positive,493.0
2709,M052118_005_2,11ml,Positive,480.0
2710,M052118_005_3,11ml,Positive,650.0
