flag,pval,slope,r2,area,neuron_label
0,0.057,0.00285131074045582,0.566387522291733,11ml,M060818_022_3
0,0.887,0.000834792874586252,0.035206629483702,11ml,M060818_023_3
1,0,0.005166564024525,0.639781171599044,46v,M060818_025_3
0,0.336,0.000342143863731152,0.0682287950252247,45,M060818_026_3
1,0,0.00402605721199172,0.889970023495271,45,M060818_026_5
0,0.107,0.00164406414018812,0.366239799929729,45,M060818_036_1
0,0.162,0.00125585159091929,0.211451588170237,45,M060818_045_2
0,0.216,-0.00604092312801443,0.478358097767828,45,M060818_045_5
0,0.457,-0.00166054531522133,0.263738606037511,45,M060818_045_6
1,0,-0.00236828404777835,0.743657824112594,13l,M060818_061_3
0,0.572,-0.00110586344195187,0.16244275886961,46d,M060818_072_2
0,0.073,0.000725005640758438,0.215999750514264,46d,M060818_072_3
1,0,-0.00433865625440798,0.788675372908045,45,M060818_078_3
1,0,0.00177635220548486,0.537169153658714,46v,M060818_080_3
0,0.206,-0.000549536841202854,0.106250574450935,46v,M060818_080_4
1,0,0.00465802199155444,0.813189917880596,45,M060818_090_2
0,0.092,0.00112055504281742,0.321609766835834,44,M060818_091_1
1,0,0.00126185109231489,0.668777739506031,44,M060818_091_4
1,0,-0.00175420633925601,0.749064404818339,8B,M060818_097_3
1,0,-0.00213149540738897,0.289858652150223,cd,M060818_099_3
0,0.174,0.00223095615554375,0.475452430744965,24c,M060818_100_3
1,0,-0.00166216615317822,0.937806542674443,46v,M060818_101_2
1,0,-0.00229919396530555,0.673415214613328,46v,M060818_101_3
1,0,-0.00337553390470449,0.829245288749796,6VaVb,M060818_104_2
0,0.618,0.000320692122948573,0.0487484652937986,6DR,M060818_106_2
0,0.325,-0.00071208666441668,0.0894754732759803,8B,M060818_109_2
0,0.082,0.000248914091999324,0.301071307409805,8B,M060818_109_4
1,0,-0.00446865216939411,0.63776014706135,cd,M060818_110_3
0,0.295,0.00123819304487177,0.110135683021057,cd,M060818_110_5
0,0.82,-0.000182561322340196,0.00184853065533752,6DR,M060818_113_1
0,0.136,-0.00218070746974205,0.476182121322271,6DR,M060818_113_2
1,0,0.000919099213540864,0.349361135839624,6DR,M060818_113_4
0,0.107,0.00293978644657276,0.511578706349066,6DC,M060818_116_1
1,0,-0.00127249130676875,0.685013211859436,6DC,M060818_116_3
1,0,-0.000837511193394392,0.893514932839927,pu,M060818_118_2
0,0.836,0.000430584855899313,0.0137945241230105,pu,M060818_119_3
0,0.591,-0.000936901049179164,0.142440462913308,pu,M060818_119_5
1,0,0.00243208014391436,0.601080041903494,6DC,M060818_128_4
0,0.038,-0.00183825600657649,0.579015202064096,6DC,M060818_128_6
0,0.629,-0.000728742137377166,0.0338958701829092,6DC,M060818_128_7
0,0.051,0.00476590649831534,0.671646710199823,6DR,M060818_134_2
0,0.058,-0.000614820171801272,0.249177006454063,6DR,M060818_135_3
0,0.439,0.0018985883777479,0.180773648535229,6DR,M060818_135_4
0,0.258,-0.00277796988103313,0.483778234454724,6DC,M060818_138_5
0,0.412,0.000666768174663485,0.224372423325605,6DC,M060818_140_2
1,0,-0.0021482921606122,0.625488834498277,6DC,M060818_144_2
0,0.66,-0.00125905891259395,0.0976248173326444,6DC,M060818_146_1
1,0,0.00271565430128449,0.631100277361742,6DC,M060818_146_2
0,0.541,0.000270424427736317,0.029325389489661,6DC,M060818_146_3
0,0.386,0.00224783235505787,0.241374018453057,6DC,M060818_146_12
1,0,-0.00215838397436142,0.857497553608342,6DC,M060818_147_1
1,0,-0.00432499507295258,0.625659289815989,6DC,M060818_150_1
0,0.637,-0.00068583495099087,0.0197920469202216,6DC,M060818_150_4
1,0,0.000653262631784446,0.460095343154648,6DC,M060818_152_1
1,0,-0.00117722281869639,0.540146627330872,6DC,M060818_152_5
1,0,0.00374231485303399,0.800894459616154,6DC,M060818_152_6
0,0.383,0.000105581936378202,0.095984081822283,cd,M060818_155_3
0,0.599,0.00111333553810687,0.0678269520820508,24c,M060818_156_3
0,0.991,0.000133044085706258,0.000688456004251048,12r,M061118_003_3
1,0,-0.00122396482676522,0.528775953925209,11ml,M061118_005_3
0,0.8,0.000462664458950684,0.00966651068991109,11ml,M061118_006_2
0,0.689,0.000218947518787075,0.0152050759699265,11ml,M061118_007_2
1,0,-0.00285843439230567,0.637969016228321,46v,M061118_011_3
0,0.726,-0.000322652262030791,0.0375230756500665,46v,M061118_011_5
1,0,-0.0044950741818773,0.912482308455705,12r,M061118_012_2
0,0.967,-0.000104289863797492,0.00132061229206537,11ml,M061118_013_3
1,0,-0.00631573149206665,0.708691536464674,11ml,M061118_013_6
1,0,0.0058719470229934,0.549078806298997,11ml,M061118_014_2
1,0,0.00450720619761262,0.661195850981216,12l,M061118_017_2
1,0,0.00286915993966397,0.663693694116413,12l,M061118_017_3
0,0.753,0.000428423611270128,0.0156918952730944,12m,M061118_019_2
0,0.084,-0.00157577808611205,0.0925273640543025,11ml,M061118_022_3
1,0,-0.0017424649462783,0.272750048533169,46v,M061118_025_3
0,0.443,-0.00106801894658754,0.16787512318404,45,M061118_026_3
1,0,0.00583552564590831,0.904349111289491,45,M061118_036_3
0,0.06,-0.0015601921153165,0.564366188703969,13l,M061118_042_3
1,0,-0.00320449276270511,0.717811850051394,45,M061118_045_3
0,0.44,0.00119318742532034,0.196554143977375,13m,M061118_054_2
1,0,0.00354684694051305,0.974865833339569,13l,M061118_060_3
0,0.762,-0.000553128305379282,0.0323643622868574,45,M061118_066_1
0,0.586,-0.00082788314323069,0.196180364892245,45,M061118_066_4
0,0.216,0.00213976851183125,0.484816821195801,12o,M061118_068_1
0,0.738,0.000403329507063959,0.0815126769245114,12o,M061118_069_2
0,0.973,2.43940935402999e-05,5.47606277300217e-05,46d,M061118_072_3
0,0.252,-0.00196859945903417,0.203553826375375,cd,M061118_088_3
1,0,0.00377583383268071,0.921904351844671,45,M061118_090_3
1,0,0.00479558480340079,0.927510800666105,44,M061118_091_3
0,0.101,-0.00128406549393903,0.40662245415542,44,M061118_091_4
0,0.129,0.00536846760228501,0.283477589861555,AI,M061118_093_3
1,0,0.00259679427985682,0.727834481295162,8B,M061118_097_1
1,0,0.00249867929820069,0.270026118769923,8B,M061118_097_4
1,0,-0.000552997331785861,0.328482758260582,24c,M061118_100_3
0,0.458,0.000599203753870649,0.0608072719976658,46v,M061118_101_1
1,0,-0.00123789329056682,0.819746622744377,46v,M061118_101_2
0,0.699,0.000258413540750902,0.0641178681778365,6VaVb,M061118_104_3
0,0.046,0.000773110996012692,0.234184154709845,6VaVb,M061118_104_4
0,0.111,0.00117426756436903,0.466410169205396,6DR,M061118_106_4
0,0.002,-0.00545905749489788,0.686003080034812,6DR,M061118_106_5
1,0,0.00119461684127826,0.830271452882106,6DR,M061118_113_3
0,0.114,-0.00126342957851711,0.358422607959075,6DR,M061118_113_4
0,0.199,-0.00841480764875041,0.508274147200396,pu,M061118_118_3
1,0,0.00135131383917852,0.786824693131836,24c,M061118_125_2
0,0.777,-0.000397732851200448,0.0341175775625118,6DR,M061118_134_3
0,0.194,0.002743934136953,0.280034489603138,6DC,M061118_140_5
0,0.116,-0.00168379755092103,0.582248751230662,6DC,M061118_144_1
0,0.47,-0.000473553146762171,0.150145542201591,6DC,M061118_144_2
0,0.75,0.000790064544804545,0.0548688101121528,6DC,M061118_146_1
0,0.981,6.03817896159726e-05,0.000807523182310366,6DC,M061118_146_5
0,0.484,0.000585671806644181,0.033252500803581,6DC,M061118_146_7
0,0.337,-0.00106629179907604,0.0594064615054581,6DC,M061118_147_2
0,0.651,0.00147525920990056,0.0382572126889397,6DC,M061118_147_3
1,0,0.000878565681187828,0.31452788664484,6DC,M061118_150_3
0,0.998,1.2224491530544e-05,1.65518647721186e-05,6DC,M061118_152_3
1,0,0.00284991696223231,0.886884052637769,11ml,M061218_005_3
0,0.034,0.00456103620452915,0.686478741376584,11ml,M061218_006_5
0,0.147,-0.00537174153005246,0.299189497101574,46d,M061218_008_2
0,0.157,-0.00386588198050312,0.430527675058081,46d,M061218_008_5
0,0.405,-0.00188405488898163,0.270972775460092,46v,M061218_011_3
1,0,-0.00222070525961229,0.532686282096943,46v,M061218_011_4
1,0,-0.00894002946949217,0.976924660662609,12r,M061218_012_2
0,0.441,-0.00195203913364365,0.197039014373843,11ml,M061218_013_2
0,0.443,-0.00105973575982983,0.0920322850110845,11ml,M061218_013_4
0,0.365,0.00502627053584723,0.369801563505592,12l,M061218_017_2
1,0,0.00334256796681638,0.638501394314345,12l,M061218_017_5
1,0,0.00464479832218553,0.804328888061039,12m,M061218_019_3
0,0.926,0.000277684711495808,0.0041675076899752,11ml,M061218_022_3
0,0.024,-0.0035751184360676,0.354860803660417,11ml,M061218_023_3
0,0.814,0.000273410064169717,0.0085797442036375,46v,M061218_024_3
0,0.432,-0.000598683677765559,0.103353737455627,46v,M061218_025_3
1,0,-0.00487997992108102,0.893624934363294,11ml,M061218_033_2
1,0,0.00171167201702727,0.382033051290828,13l,M061218_039_5
1,0,-0.00483257059965675,0.599581792509174,45,M061218_045_3
1,0,0.00536616241924222,0.852653979566778,13m,M061218_054_2
0,0.513,0.00302673543455157,0.155933116094877,13l,M061218_061_2
1,0,0.00604873378361557,0.972853899166184,45,M061218_066_3
0,0.043,0.00368769780175485,0.646218542635355,12o,M061218_069_3
0,0.435,0.00365429435268702,0.313198353319321,13l,M061218_071_3
0,0.017,0.00595672156126284,0.667735474663205,46d,M061218_072_2
0,0.928,-4.11662805843248e-05,0.000156818688635818,46d,M061218_072_3
