flag,pval,slope,r2,area,neuron_label
0,0.355,0.00163549992568088,0.268265392761166,12o,X081821_066_3
1,0,-0.001156016368689,0.859924207651851,12o,X081821_078_3
1,0,0.000183247999185489,0.742907488393953,12o,X081821_079_3
1,0,-0.00105883323337727,0.901822193854636,pu,X081821_085_1
0,0.833,-0.000575285471618261,0.0284857953996475,pu,X081821_085_4
1,0,-0.00104266243906939,0.454482722047945,AI,X081821_103_4
0,0.424,0.00131664302523733,0.114601600934987,AMG,X081821_107_2
1,0,-0.00245136319958629,0.446937896461551,AMG,X081821_107_5
0,0.091,-0.00199390613199423,0.572060702162919,pu,X081821_110_3
1,0,0.00199892861911091,0.711187790910493,pu,X081821_110_4
1,0,-0.00155491328797404,0.55881983506785,pu,X081821_110_5
1,0,0.00280810093656187,0.681044778417466,AMG,X081821_119_3
1,0,-0.000582294462759435,0.381936974323354,cd,X081821_123_4
1,0,0.00284903892801248,0.746275536044156,AMG,X081821_129_2
1,0,0.00392114838383708,0.881989255276724,AMG,X081821_140_2
1,0,0.00343810439014672,0.825686866771874,pu,X081821_141_3
0,0.16,0.00259829103701542,0.301722519888212,pu,X081821_141_4
0,0.072,-0.00155645883562344,0.367567169103094,AMG,X081821_151_1
0,0.957,1.15055895043607e-06,0.000477373708661077,12r,X082321_004_3
1,0,0.00154933225497347,0.798137704967131,12r,X082321_011_3
1,0,-0.0014225004646775,0.941684579017711,12m,X082321_012_3
1,0,0.00287282433031416,0.668986153011765,11ml,X082321_014_2
1,0,-0.00278319362780216,0.935265924192423,11ml,X082321_021_2
1,0,-0.00257587470470872,0.691930124656004,11ml,X082321_021_5
1,0,-0.00342600964103581,0.836458972774021,11ml,X082321_021_6
1,0,0.00318328228799063,0.9381425881881,11ml,X082321_023_2
0,0.306,0.000623275837269644,0.253458935648226,12l,X082321_028_3
1,0,0.00176236011520155,0.746713026876118,12m,X082321_029_3
1,0,0.00071633031357794,0.270426802667151,13l,X082321_030_3
1,0,0.00406711085653541,0.79521713378864,13l,X082321_031_3
1,0,0.00276451954063858,0.894827706059161,13l,X082321_038_3
0,0.804,-0.000269725978125356,0.0211603899372126,13l,X082321_039_3
0,0.326,-0.000668125356742559,0.0950609891997398,13l,X082321_041_3
1,0,0.001486968419459,0.768481195752903,13l,X082321_049_2
0,0.013,-0.0017547101733945,0.635074619474219,13l,X082321_051_2
1,0,-0.0011718694517114,0.809009045472935,13m,X082321_054_4
0,0.217,-0.000906484413769365,0.179437866948018,13m,X082321_054_5
1,0,0.00124650145757762,0.564755681026668,12o,X082321_057_3
1,0,0.00236781956268749,0.522958401897384,12o,X082321_057_4
0,0.967,-0.000163083655929218,0.00421809474393442,AI,X082321_060_1
0,0.566,-0.000992413969078984,0.064544344783881,AI,X082321_061_3
1,0,-0.00168798398045787,0.833209175740023,13m,X082321_064_3
0,0.537,0.000661953252455331,0.273271516762378,12o,X082321_067_2
0,0.272,0.00142286681588982,0.248449597472641,AI,X082321_070_2
1,0,-0.00174748487059772,0.838023364259008,AI,X082321_072_2
1,0,-0.00204086182305231,0.928016474877462,13m,X082321_074_3
1,0,-0.00239976504024107,0.975634180186519,13m,X082321_074_4
0,0.93,4.30228437585535e-05,0.000673103982531509,13m,X082321_074_6
0,0.099,0.00208885515442061,0.336713611300657,AI,X082321_081_3
1,0,0.00194528729895476,0.872106784974125,AI,X082321_082_3
0,0.373,0.0017279658084394,0.167626533324863,AI,X082321_091_2
0,0.091,-0.000306567025511607,0.164286648639244,AI,X082321_092_3
0,0.257,0.000810268824695143,0.462812763397769,pu,X082321_096_2
1,0,0.0028856044867016,0.66066719690281,pu,X082321_097_3
0,0.388,-0.000830045997923549,0.0794210758263677,pu,X082321_098_3
1,0,-0.00175934503345214,0.845690053923584,pu,X082321_099_3
1,0,-0.00230319207500208,0.965913972918868,AMG,X082321_107_2
0,0.012,0.00227254550960978,0.59843147302216,AMG,X082321_119_3
1,0,0.00281640162046999,0.982554065044869,AMG,X082321_119_4
0,0.131,-0.000878488016407112,0.397822807727144,AMG,X082321_120_4
1,0,0.00156381142332634,0.74176184191853,cd,X082321_123_3
0,0.36,-0.000671782145086224,0.248740979344712,cd,X082321_123_4
1,0,0.0017168038793412,0.451402761095497,cd,X082321_124_3
0,0.112,-0.0010741739135149,0.0880694052685489,cd,X082321_135_1
1,0,-0.000553667402270596,0.191831570973885,AMG,X082321_152_2
0,0.978,-4.31557620125515e-05,0.000948207567088577,AMG,X082321_152_5
0,0.731,-0.00012709500491882,0.0977649889880043,AMG,X082321_153_1
1,0,0.00220648160756175,0.926915218059168,AMG,X082321_154_3
1,0,0.00208110403508895,0.751255509748826,12r,X082621_004_2
1,0,-0.00220833143248767,0.871449882435453,11ml,X082621_007_3
0,0.14,-0.00080480485011799,0.140190980645575,11ml,X082621_014_2
0,0.446,-0.00032800852501613,0.275616964111729,12m,X082621_029_3
1,0,0.00273096633032859,0.856563430822597,13l,X082621_031_3
0,0.518,0.000989201733226139,0.0980599557043071,13m,X082621_032_5
1,0,0.00171993314769365,0.592626943649294,13m,X082621_032_6
1,0,-0.00412395949879214,0.927197414955181,13l,X082621_038_4
0,0.299,0.00089035285757342,0.118250730986802,12o,X082621_046_2
0,0.012,-0.00229190085593474,0.469781478570155,12o,X082621_046_4
0,0.827,0.000385686855457116,0.0131367075244949,12o,X082621_046_5
0,0.947,1.74597615062611e-05,0.000122011586442872,12o,X082621_046_6
0,0.635,0.00061625380144415,0.0227855517728698,12o,X082621_046_7
0,0.186,0.00142470228717169,0.208757213030911,13l,X082621_049_4
0,0.562,-0.00101022740246778,0.0881548111828876,13l,X082621_050_3
1,0,0.00095519853375435,0.29973688639243,13l,X082621_050_4
1,0,-0.00224541696059694,0.788227510642694,13l,X082621_051_2
1,0,0.00343826502136043,0.73965001744705,13m,X082621_054_4
1,0,-0.000658163554816131,0.58658043078425,12o,X082621_056_1
1,0,-0.00161516042546523,0.574663604154707,12o,X082621_057_2
1,0,0.00422044012519526,0.766176076505383,12o,X082621_057_4
0,0.033,-0.00242726856190806,0.539733517443496,12o,X082621_058_4
1,0,-0.0014146512908285,0.532395757324786,12o,X082621_059_2
0,0.612,-0.000572995494057145,0.138720436904102,12o,X082621_066_3
1,0,-0.00237412713448783,0.828089747954272,12o,X082621_066_4
0,0.893,0.000121017462290113,0.00156414710281116,12o,X082621_066_5
1,0,0.00223808218911977,0.924020291239797,12o,X082621_069_4
0,0.801,0.000299767600667937,0.0195275103960327,AI,X082621_070_2
0,0.486,-0.00200859844102039,0.272417376808924,AI,X082621_071_4
0,0.141,-0.000575451806208196,0.253032203001076,cd,X082621_076_2
1,0,0.0014625500785913,0.499561332368129,AI,X082621_092_3
